[12:02:51] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[12:02:52] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:02:52] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:02:52] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:02:52] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:02:52] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:02:52] [ServerMain/INFO]: Reloading ResourceManager: Default
[12:02:54] [Worker-Main-4/INFO]: Loaded 7 recipes
[12:02:55] [Worker-Main-4/INFO]: Loaded 1141 advancements
[12:03:00] [Server thread/INFO]: Starting minecraft server version 1.18.1
[12:03:00] [Server thread/INFO]: Loading properties
[12:03:00] [Server thread/INFO]: Default game type: SURVIVAL
[12:03:00] [Server thread/INFO]: Generating keypair
[12:03:01] [Server thread/INFO]: Starting Minecraft server on *:25565
[12:03:01] [Server thread/INFO]: Using epoll channel type
[12:03:02] [Server thread/INFO]: Preparing level "world"
[12:03:02] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[12:03:05] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:05] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[12:03:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[12:03:06] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:06] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[12:03:06] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:06] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:06] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:06] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:07] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:07] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:08] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[12:03:09] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:10] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[12:03:20] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[12:03:21] [Worker-Main-4/INFO]: Preparing spawn area: 11%
[12:03:23] [Worker-Main-6/INFO]: Preparing spawn area: 23%
[12:03:23] [Worker-Main-6/INFO]: Preparing spawn area: 23%
[12:03:23] [Worker-Main-6/INFO]: Preparing spawn area: 23%
[12:03:24] [Worker-Main-6/INFO]: Preparing spawn area: 23%
[12:03:24] [Worker-Main-6/INFO]: Preparing spawn area: 23%
[12:03:24] [Worker-Main-4/INFO]: Preparing spawn area: 32%
[12:03:25] [Worker-Main-5/INFO]: Preparing spawn area: 39%
[12:03:25] [Worker-Main-6/INFO]: Preparing spawn area: 55%
[12:03:25] [Worker-Main-4/INFO]: Preparing spawn area: 61%
[12:03:26] [Worker-Main-4/INFO]: Preparing spawn area: 74%
[12:03:27] [Worker-Main-5/INFO]: Preparing spawn area: 81%
[12:03:27] [Worker-Main-6/INFO]: Preparing spawn area: 89%
[12:03:27] [Server thread/INFO]: Time elapsed: 25446 ms
[12:03:27] [Server thread/INFO]: Done (25.717s)! For help, type "help"
